month,total_trials,with_payment_method,without_payment_method,actual_conversions,actual_conversion_rate,potential_conversions,potential_conversion_rate,conversion_rate_lift,actual_revenue,potential_revenue,lost_revenue
2025-03,188,186,2,188,100.0,186,100.0,0.0,31386.15,31090.65,0.0
2025-04,181,181,0,181,100.0,181,100.0,0.0,27881.533333333333,27881.533333333333,0.0
2025-05,188,187,1,183,97.3404255319149,182,97.32620320855615,-0.01422232335875151,39052.433333333334,38905.433333333334,0.0
2025-06,357,357,0,107,29.971988795518207,107,29.971988795518207,0.0,17565.833333333332,17565.833333333332,0.0
2025-07,211,211,0,3,1.4218009478672986,3,1.4218009478672986,0.0,642.5,642.5,0.0
